text,label,pred_label,tier
視聴者の大半黄色パーカー着てるの想像したらうけるｗ,Positive,Neutral,層2
小池百合子さん気強い！,Neutral,Negative,層2
裏で土下座したらしいしな,Neutral,Negative,層2
絶対ワザと聞いてるだろｗ,Positive,Negative,層2
気づかなかった,Neutral,Negative,層2
聴いていてもなんとも思わない曲を好きになる方法ってありますかね？自分は聴いていて何とも思わない曲を好きになろうとて何度もその曲を聴いていたんですけど好きになれません。なので自分はもともと聴いてもなんとも思わない曲は好きになれないんだという先入観によっても曲を好きになれない気がしてます。,Neutral,Negative,層2
飛ばされる～:balloon:,Neutral,Negative,層2
グェフ。,Neutral,Negative,層2
へええ,Neutral,Negative,層2
判官贔屓にはなるわな:virtualhug:,Neutral,Negative,層2
統失は脳に傷は付いてるそうだよ,Neutral,Negative,層2
なるほど。参考にならないw,Positive,Positive,層3
良い回答,Positive,Positive,層3
風邪ひいてんのに ひろゆきも頑張る時あるのね,Positive,Positive,層3
今日音でかいな,Neutral,Positive,層3
LINEのひろゆきスタンプ、相手を煽るときに重宝してる,Neutral,Positive,層3
何か勘違いしてらっしゃるの文言好きw,Positive,Positive,層3
相棒だぞw,Positive,Positive,層3
よし、やるぞ,Positive,Positive,層3
コルァァ！！！！！！,Positive,Positive,層3
やっぱやーめたー,Neutral,Positive,層3
今平均年齢って何十代？,Neutral,Neutral,層3
うちと同じだ,Neutral,Neutral,層3
ビアンカ派です,Neutral,Neutral,層3
そうなの,Neutral,Neutral,層3
にゃんにゃん,Neutral,Neutral,層3
マンボウ,Neutral,Neutral,層3
どんな気持ちでいるか,Neutral,Neutral,層3
カドカワの為に,Neutral,Neutral,層3
キムタク,Neutral,Neutral,層3
女もだよ,Neutral,Neutral,層3
ポツポツ、ノイズ〜消せないのかなぁ？,Neutral,Negative,層3
心の病気,Negative,Negative,層3
風邪引いたらイケボになるひろゆき,Positive,Negative,層3
原油高,Neutral,Negative,層3
いうほど電気代上がってない,Neutral,Negative,層3
立花さんはNHKだけやってほしい,Neutral,Negative,層3
ホリエモン,Neutral,Negative,層3
立花さんは 訴えを取り下げてほしかったみたいですね,Neutral,Negative,層3
"私は　頑張って　と言われるのが苦手(私の働きぶりを知らない人から言われるのが苦手で、例えば上司に具体的に""もうちょっとこういうところを頑張ってほしい""と言われるのはむしろ有難い)のですが、これって心が狭いのですかね？ひろゆきさんは、何を言われても特に気にしない(別に死ぬわけじゃないし)マインドですか",Neutral,Negative,層3
偏差値高い高校出てるしね生稲さん:virtualhug:,Neutral,Negative,層3
ハンサムにうまれてよかったね。ひろゆきさん。,Positive,Positive,層4
DJ社長！ 頑張れ～！,Positive,Positive,層4
わちゃわちゃ♪　キャッキャッ♪　:virtualhug:w,Positive,Positive,層4
ホリエモンの舞台も面白いよね笑笑,Positive,Positive,層4
あの対談見て立花さんのファンになりましたよ！,Positive,Positive,層4
２歳なんか全員かっこいいわよ,Positive,Positive,層4
可愛いゲップでした！,Positive,Positive,層4
鼻声ひろゆきもステキよ♡,Positive,Positive,層4
そうそう自分の幸せ大切！,Positive,Positive,層4
めっちゃ稼げるじゃん,Positive,Positive,層4
つかこうへい？,Neutral,Neutral,層4
内角の和？w,Neutral,Neutral,層4
ひろゆきペンギンに似てる:eyes-purple-crying:,Neutral,Neutral,層4
もう少しでエイプリルフールの日が来ますがどんなことが起きると予想されますか？,Neutral,Neutral,層4
通信キャリアの人って、なにか手を動かせるますかね？,Neutral,Neutral,層4
真っ当になるかな〜,Neutral,Neutral,層4
羽賀健二,Neutral,Neutral,層4
うゎ〜　:face-blue-heart-eyes:w,Neutral,Neutral,層4
扇千景,Neutral,Neutral,層4
きちんと、内定辞退のお話を人事としてくれれば良いと思います,Neutral,Neutral,層4
精神科病院へ行くのも手。鬱かも,Neutral,Negative,層4
年収2000万を目指す、きびしー,Neutral,Negative,層4
水道事業民営化の方が怖いな,Negative,Negative,層4
ハーフで両親の母国語出来ないと後で習うの大変だよ,Neutral,Negative,層4
ひろゆきの賠償金の件で弁護士が動いてるとか言ってたのに何もできなかったやん,Negative,Negative,層4
うつ病や統合失調症は病気なんでしょうか? 癌のように癌細胞が見つからず、頭がはちきれそうです,Negative,Negative,層4
ウチの高校の卒業式なんて荒れまくってたわ,Negative,Negative,層4
400万円借金をしまして任意整理しました 自己破産すれば良かったかなと思いました どうおもいますか,Negative,Negative,層4
信用してないのになぜ結婚できたんだあああ,Negative,Negative,層4
